Date,Number of Tankers Trips:,Expected Tanker Volume (m³) (20 m3),Direct In line Sewage (MB),Total Inlet Sewage Received from (MB+Tnk) -m³ ,Total Treated Water Produced - m³,Total TSE Water Production,Raw Sewage Inlet Flow (31.25 m3/hr),Aeration DO (2 -3 ppm),Raw Sewage pH (6.5 - 8.0)
1/7/2024,10,200,139,339,385,340,M - 32.15   N- 32.20 E - 33.10 ,Meter not working ,M - 6.7 N - 6.7 E - 6.7 
2/7/2024,14,280,246,526,519,458,M - 33.12  N -  33.15  E - 32.25 ,Meter not working ,M - 6.7 N - 6.7 E - 6.7  
3/7/2024,13,260,208,468,479,425,M - 32.30  N - 32.23  E - 33.50,Meter not working ,M - 6.7  N - 6.8  E - 6.8    
4/7/2024,11,220,244,464,547,489,M - 32.50 N - 32.25  E - 32.34   ,Meter not working ,M - 6.7 N  - 6.7 E  - 6.7  
5/7/2024,15,300,265,565,653,574,M - 32 12 N - 32.25   E - 33.34  ,meter not working ,M -  6. 7  N - 6.7   E - 6.7 
6/7/2024,14,280,222,502,552,492,M - 32.52  N - 32.33 E - 32.34 ,Meter not working  ,M - 6.7 N - 6.7  E - 6.7  
7/7/2024,13,260,289,549,575,498,M - 33.15     N - 32.50 E - 32.34  ,Meter not working ,M - 6.8  N - 6.8  E - 6.7  
8/7/2024,16,320,212,532,587,515,M - 52.63 N - 48.20 E - 50.12,Meter is not working ,M - 6.8 N - 6.8 E - 6.8
8/7/2024,16,320,219,539,589,515,M - 33.15 N - 32.50 E - 32.34 ,Meter not working ,M - 6.7 N - 6.7 E  - 6.7 
9/7/2024,13,260,272,532,586,519,M - 48.20 N - 50.23 E - 45.50,Meter is not working,M - 6.9 N - 6.9 E - 6.9
10/7/2024,12,240,253,493,542,462,M-50..20 N  -51.25        E 48-.15,meter not working ,M -6.7           N- 6.8  E- 6.8
12/7/2024,12,240,266,506,533,468,M -65.50 N-65.12     E -60.32,meter not working ,M -6.7 N - 6.7 E - 6.8
12/7/2024,16,320,258,578,654,580,M - 34.21 N- 34.20 E- 33.56,meter not working ,M-6.8 N- 6.8 E- 6.8 
13/7/2024,10,200,279,479,464,402,M -33.20  N -34.10    E - 33.24,Meter not working ,M - 6.8   N - 6.8   E -6.8 
13/7/2024,10,200,279,479,464,402,M -33.20  N -34.10    E - 33.24,Meter not working ,M - 6.8   N - 6.8   E -6.8 
14/7/2024,13,260,226,486,506,448,M - 31.55  N - 33.20   E - 32.54,meter not working ,M - 6.7  N - 6.7  E - 6.7
15/7/2024,6,120,271,391,482,418,M - 33.15  N - 33.34   E - 32.56,meter not working ,M - 6.8   N - 6.8   E - 6.8 
16/7/2024,18,360,216,576,670,600,M - 33.20  N - 33.34   E - 32.56 ,meter not working ,M - 6.7   N - 6.7   E - 6.8  
17/7/2024,12,240,266,506,344,300,M -  33.15  N - 32.32   E - 33.34 ,meter not working ,M - 6.7   N  - 6.8  E - 6.8
18/7/2024,8,160,209,369,585,517,M - 33.14  N - 32.56   E - 33.25 ,meter not working ,M - 6.8   N -  6.8  E -  6.8  
19/7/2024,15,300,314,614,687,605,M - 32.35   N - 33.15   E -33.26 ,meter not working ,M - 6.8   N - 6.8  E - 6.9 
20/7/2024,12,240,243,483,536,465,M - 32.34  N - 33.25    E - 33.24  ,Meter not working ,M - 6.7  N - 6.7  E - 6.8  
21/7/2024,13,260,241,501,504,455,M - 6.9 N - 6.9 E  - 6.9       ,Meter not working , M - 6.6   N - 6.5   E -  6.5  
22/7/2024,13,260,220,480,549,492,M - 34.10  N - 32.50  E - 32.34   ,Meter not working ,M - 6.7  N - 6.7  E - 6.7  
23/7/2024,16,320,248,568,611,535,M - 32.15 N - 33.10  E - 32.24 ,Meter not working ,M - 6.7  N - 6.7   E - 6.7   
24/7/2024,18,360,203,563,599,528,M - 32.56 N - 32.52  E - 34.25    ,Meter not working ,M - 6.7  N - 6.7 E - 6.7 
25/7/2024,14,280,135,415,517,444,M - 32.50 N -  33.10 E - 32.46 ,Meter notworking ,M - 6.7  N - 6.8  E - 6.7 
26/7/2024,18,360,224,584,650,570,M - 32.20  N - 30.25  E - 30.15 ,meter not working ,M - 6.6  N - 6.7  E - 6.7  
27/7/2024,10,200,337,537,475,414,M - 30.25 N - 30.55  E - 29.30,meter not working ,M - 6.7 N - 6.7  E - 6.7 
28/7/2024,12,240,213,453,512,449,M - 31.20 N - 30.54  E - 31.15  ,Meter not working ,M -6.7 N - 6.7 E - 6.7  
29/7/2024,19,380,305,685,671,577,M - 33.10 N -32.34  E - 32.25   ,Meter not working ,M - 6.7 N - 6.8 E - 6.8   
30/7/2024,13,260,267,527,668,582,M - 32.15  N - 32.20 E - 31.50    ,Meter not working ,M - 6.7  N - 6.7  E - 6.7    
31/7/2024,17,340,266,606,613,529,M - 33.34  N - 32.56  E  - 32.86           ,Meter not working ,M - 6.6   N - 6.7   E - 6.7  
1/8/2024,15,300,242,542,601,528,M - 33.34  N - 32.50 E - 32.56,Meter not working ,M - 6.7 N - 6.7 E - 6.7  
2/8/2024,15,300,360,660,676,590,M - 3.2.50   N - 31.66 E - 33.21  ,Meter not working ,M - 6.7    N - 6.7 E - 6.7
3/8/2024,13,260,233,493,544,474,M - 33.20 N - 32.50 E - 33.15 ,Meter not working ,M - 6.8 N - 6.8  E - 6.7  
4/8/2024,13,260,250,510,571,497,M - 32.35 N - 33.44 E - 32.25,Meter not working ,M - 6.7  N - 6.7 E - 6.7  
5/8/2024,13,260,255,515,574,500,M - 32.25 N - 33.15 E - 32.45 ,Meter not working ,M - 6.8  N - 6.7 E - 6.7 
6/8/2024,16,320,284,604,643,554,M - 32.54 N - 32.26 E - 32.33 ,Meter  not working ,M - 6.8 N - 6.8 E - 6.7 
7/8/2024,19,380,110,490,608,516,M - 32.15 N - 32.33 E - 32.10,Meter not working ,M - 6.8  N - 6.8  E  - 6.8  
8/8/2024,17,340,302,642,610,524,M - 33.10 N - 32.15 E - 32.24 ,Meter not working ,M - 6.8  N - 6.7  E - 6.7 
9/8/2024,12,240,291,531,630,550,M - 32.25 N - 33.34  E -  32.15,Meter not working ,M - 6.9 N - 6.8 E -  6.9  
10/8/2024,13,260,265,525,583,499,M - 32.30  N - 33.25 E - 32.50   ,Meter not working ,M - 6.8  N - 6.8 E - 6.8  
11/8/2024,11,220,339,559,554,483,M - 32.15   N -  33.12 E -   33.34 ,Meter  not working ,M - 6.9  N - 6.8 E - 6.8  
12/8/2024,12,240,229,469,606,531,M- 32.15 N - 32.55 E - 33.12 ,Meter not working ,M- 6.9  N - 6.8 E  - 6.8  
13/8/2024,12,240,219,459,569,499,M - 32.15 N - 33.34 E - 33.20,Meter not working ,M - 6.7 N - 6.7 E - 6.7 
14/8/2024,11,220,289,509,525,492,M - 33.25 N - 32.50 E - 32.15  ,Meter not working ,M - 6.7  N - 6.8 E -  6.8 
15/8/2024,13,260,281,541,579,502,M - 33.34 N - 32.50 E -  33.15,Meter not working ,M - 6.8  N - 6.8  E -  6.8 
16/8/2024,11,220,328,548,591,516,M - 33.20 N - 32.34 E - 32.33,Meter not working ,M - 6.8 N - 6.8 E - 6.8  
17/8/2024,14,280,232,512,466,414,M- 29.30 N - 30.12 E - 30.25,Meter not working ,M - 6.8 N - 6.8 E -  6.8 
18/8/2024,13,260,218,478,591,516,M - 31.10 N - 29.50 E - 29.56,Meter not working ,M - 6.8 N - 6.8  E -  6.8  
19/8/2024,11,220,210,430,529,470,M - 30.34 N - 31.10 E - 29.65 ,Meter not working ,M - 6.8 N - 6.8  E -  6.8 
20/8/2024,13,260,261,521,579,495,M - 31.20 N - 28.56 E - 30.25  ,Meter not working ,M - 6.8 N - 6.9  E - 6.9   
21/8/2024,12,240,238,478,586,500,M- 31.24  N - 31.20 E - 29.56,meter not working ,M - 6.9 N - 6.9 E - 6.9 
22/8/2024,13,260,292,552,486,437,M- 31.20 N -29.56 E - 30.32 ,Meter not working ,M - 6.8 N - 6.8 E - 6.8 
23/8/2024,12,240,209,449,564,478,M - 31.20  N - 30.25   E - 29.56 ,meter not working ,M - 6.8   N - 6.8 E - 6.8  
24/8/2024,9,180,281,461,581,505,M - 31.25 N - 30.56 E - 29.32 ,Meter not working ,M - 6.8  N - 6.8  E - 6.8  
25/8/2024,8,160,209,369,488,420,M - 30.29 N - 32.14 E - 32.20 ,Meter not working  ,M - 6.8  N - 6.9 E - 6.8  
26/8/2024,8,160,249,409,371,291,M- 31.20 N - 30.25  E - 31.34,Meter not working ,M - 6.9  N - 6.9 E - 6.9 
27/8/2024,8,160,231,391,453,417,M - 31.20 N- 30.32 E -31.23.,Meter not working ,M - 6.8 N - 6.8 E - 6.9
28/8/2024,9,180,355,535,642,557,M - 31.15 N - 32.10 E - 30.34 ,Meter not working ,M - 6.9  N - 6.9  E - 6.9  
29/8/2024,9,180,188,368,413,360,M - 30.25 N - 30.24 E - 32.34  ,Meter not working ,M - 7.0 N - 6.9 E - 6.9
30/8/2024,14,280,346,626,624,551,M - 31.20  N - 31.34 E - 30.65  ,meter not working ,M - 6.9  N - 6.9 E - 6.9  
31/8/2024,9,180,285,465,535,473,M - 31.20  N - 30.25 E - 30.34  ,meter not working,M - 7.0  N - 6.9  E - 6.9  
1/9/2024,11,220,257,477,504,441,M - 6.9 N - 6.9  E- 6.9 ,Meter not working ,
2/9/2024,5,100,270,370,355,317,M - 31.34  N - 31.20  E - 30.45 ,Meter not working ,M - 6.9  N - 6.9  E - 6.9 
3/9/2024,9,180,261,441,540,481,M - 31.20  N - 31.34  E - 32.25  ,Meter  not working ,M - 6.8  N - 6.8 E - 6.8 
4/9/2024,4,80,252,332,358,300,M - 31.25  N - 30.65 E - 31.24 ,Meter not working ,M - 6 8  N - 6.8  E - 6.8  
5/9/2024,6,120,330,450,547,483,M- 30.25  N- 32.36  E -30.34  ,Meter not working ,M - 6.8  N - 6.8  E - 6.8  
6/9/2024,14,280,209,489,518,474,M - 31.34  N - 30.20  E - 31.24  ,Meter not working ,M - 6.8  N - 6.8  E - 6.8   
7/9/2024,12,240,319,559,568,504,M - 31.25 N - 31.34 E - 31.23 ,Meter not working ,M - 6.8  N - 6.8 E - 6.8  
8/9/2024,9,180,299,479,478,422,M - 31.20 N - 30.56  E - 31.25 ,Meter not working ,M - 6.8  N - 6.8  E - 6.8 
9/9/2024,9,180,283,463,515,459,M - 31.25  N - 31.16  E - 32.20 ,Meter not working ,M - 6.8  N - 6.8  E - 9.8 
10/9/2024,7,140,282,422,453,396,M - 31.25  N - 32.10 E - 30.26  ,Meter not working ,M - 6. 7 N - 6.7  E - 6.7   
11/9/2024,12,240,279,519,566,495,M - 31.34  N - 33.25  E - 32.64  ,Meter not working ,M - 6.8  N - 6.8  E - 6.8  
12/9/2024,10,200,257,457,489,437,M - 32.34  N - 31.20  E - 32.25  ,Meter not working ,M - 6.8  N  - 6.8  E -  6.8  
13/9/2024,14,280,284,564,671,611,M- 31.25  N - 33.24  E - 31.34  ,Meter not  working ,M - 6.8  N - 6.8  E - 6.8  
14/9/2024,5,100,243,343,357,311,M - 31.50 N - 31.10  E - 32.30 ,Meter not working ,M - 6.8  N - 6.8  E - 6.8  
15/9/2024,7,140,208,348,354,307,M- 32.25  N - 32.60  E - 31.55  ,Metr not working ,M - 6.8  N - 6.8  E - 6.7  
16/9/2024,8,160,283,443,412,366,M - 32.26 N - 31.56  E - 32.30  ,Meter not working ,M - 6.7 N - 6.7  E - 6.8 
17/9/2024,8,160,143,303,352,314,M - 32.25  N - 31.36  E - 33.34  ,Meter not working ,M - 6.8   N - 6.8  E - 6.8  
18/9/2024,8,160,220,380,424,371,M - 32.30  N - 32.36  E - 33.34  ,Meter not working ,M - 6.8  N - 6.7  E - 6.7  
19/9/2024,9,180,198,378,441,401,M - 32.36  N - 31.25  E - 32.60   ,meter not working ,M - 6.8  N - 6.8  E - 6.9  
20/9/2024,14,280,231,511,581,519,M - 32.26 N - 31.64  E - 32.33  ,Meter not working ,M - 6.7  N - 6.8  E - 6.8  
20/9/2024,14,280,231,511,581,519,M - 32.26 N - 31.64  E - 32.33  ,Meter not working ,M - 6.7  N - 6.8  E - 6.8  
21/9/2024,9,180,254,434,452,391,M - 32.60  N - 31.56  E - 32.34  ,meter not working ,M - 6.7  N - 6.7  E - 6.7  
22/9/2024,9,180,190,370,355,317,M- 32.34  N - 32.31  E - 32.65  ,meter not working ,M - 6.8 N - 6.7  E - 6.7 
23/9/2024,5,100,191,291,292,262,M - 31.26  N - 33.20  E - 32.34  ,Meter not working ,M - 6.7  N - 6.7  E - 6.7  
24/9/2024,8,160,302,462,555,498,M - 33.34  N - 31.26  E  - 32.25  ,Meter   not working ,M - 6.7  N - 6.7  E - 6.7   
25/9/2024,10,200,190,390,364,319,M - 32.34  N - 32.33  E - 31.30  ,meter not working ,M - 6.7  N - 6.7 E - 6.7  
26/9/2024,7,140,212,352,386,342,M - 31.25  N - 31.30  E - 33.24  ,meter not working ,M - 6.7  N - 6.7  E - 6.7  
27/9/2024,11,220,269,489,519,467,M - 33.34  N - 32.62  E - 32.65  ,meter not working ,M - 6.7  N - 6.6  E - 6.7  
28/9/2024,8,160,323,483,539,469,M- 32.36  N - 31.20  E - 33.34   ,Meter not working ,M - 6.6  N - 6.7  E - 6.7  
29/9/2024,9,180,268,448,557,503,M - 32.34 N - 32.50  E - 32.24  ,Meter not working ,M - 6.7 N - 6.7  E - 6.7  
30/9/2024,6,120,304,424,388,350,M - 31.26  N - 32.63  E - 31.33  ,Meter not working ,M - 6.7  N - 6.7  E - 6.7  
30/9/2024,6,120,304,424,388,350,M - 31.26  N - 32.63  E - 31.33  ,Meter not working ,M - 6.7  N - 6.7  E - 6.7  
1/10/2024,5,100,305,405,482,417,M - 31.26  N - 31.30  E - 33.25  ,meter not working ,M - 6.7  N - 6.7  E - 6.7  
2/10/2024,8,160,273,433,419,361,M - 32.34 N - 31.26  E -  33.15  n ,meter not working ,M - 6.7  N - 6.7  E - 6.7  
3/10/2024,9,180,295,475,575,520,M - 31.24 N - 31.33  E - 33.26,Meter not working ,M - 6.7  N - 6.7  E - 6.7  
4/10/2024,15,300,247,547,602,506,M - 32.60  N - 31.35  E - 31.20  ,Meter not working ,M - 6.7  N - 6.7  E - 6.7  
5/10/2024,8,160,362,522,555,515,M - 32.56 N - 32.60  E - 31.22  ,Meter not working ,M - 6.7  N - 6.7  E - 6.7  
6/10/2024,8,160,297,457,425,365,M - 32.33  N - 32.25  E - 33.14  ,Meter not working ,M - 6.7  N - 6.7  E - 6.7  
7/10/2024,11,220,324,544,592,533,M - 33.24   N - 32.24   E - 32.65    ,Meter not working   ,M - 6.7  N - 6.7  E - 6.7  
8/10/2024,11,220,269,489,524,462,M - 32.30  N - 32.65  E - 32.39  ,Meter not working ,M - 6.7  N - 6.7  E - 6.7  
9/10/2024,11,220,312,532,637,568,M - 32.30  N - 33.10  E - 31.25  ,Meter not working ,M - 6.7  N - 6.7 e - 6.7  
10/10/2024,11,220,274,494,559,491,M - 33.34  N - 33.20  E - 32.30  ,Meter not working  ,M - 6.7  N - 6.7  E - 6.7  .  
11/10/2024,12,240,309,549,541,438,M - 31.25 N - 33.26  E - 32.33   ,meter not working ,M - 6.7 N - 6.7  E - 6.7  
12/10/2024,8,160,351,511,526,512,M - 32.30  N - 32.25  E - 33.34  ,meter not working ,M - 6.7  N - 6.7  E - 6.7 
13/10/2024,6,120,212,332,405,345,M - 33.25  N - 31.25  E - 33.34  ,Meter not working ,M - 6.7  N - 6.7  E - 6.7  
14/10/2024,7,140,369,509,601,548,M - 31.25  N - 33.24  E - 31.30   ,Meter not working ,M - 6.7  N - 6.7  E - 6.7  
15/10/2024,10,200,381,581,569,489,M - 33.25  N - 33.24  E - 33.34  ,Meter not working ,M - 6.7  N - 6.7  E - 6.7  
16/10/2024,8,160,388,548,607,538,M - 33.20  N - 32.65  E - 32.25  ,Meter  not working ,M - 6.8  N - 6.8  E - 6.7  
17/10/2024,11,220,416,636,659,575,M - 33.64  N - 32.65  E - 33.20  ,Meter not working ,M - 6.7  N - 6.7  E - 6.7  
18/10/2024,10,200,365,565,677,597,M - 33.34  N - 33.56  E - 32.69  , do Meter  not working ,M - 6.7  N - 6.8  E - 6.8  
19/10/2024,8,160,429,589,583,509,M - 33.34  N - 32.35  E -33.33  ,DO METER NOT WORKING ,M - 6.7  N - 6.8  E - 6.7  
20/10/2024,10,200,337,537,614,542,M - 33.24 N- 33.20  E - 32.65  ,do meter not working ,M - 6.7  N - 6.7  E - 6.7  
