Date,Number of Tankers Trips:,Expected Tanker Volume (m³) (20 m3),Direct In line Sewage (MB),Total Inlet Sewage Received from (MB+Tnk) -m³ ,Total Treated Water Produced - m³,Total TSE Water Production,Raw Sewage Inlet Flow (31.25 m3/hr),Aeration DO (2 -3 ppm),Raw Sewage pH (6.5 - 8.0)
21/10/2024,12,240,299,539,585,513,M - 32.60  N - 32.24  E - 33.34  ,Do meter not working ,M - 6.7  N - 6.7  E - 6.7   
22/10/2024,9,180,345,525,606,528,M - 33.21 N - 32.60  E - 32.55  ,Do meter not  working ,M - 6.7  N - 6.7  E - 6.7  
23/10/2024,11,220,372,592,614,532,M - 32.30  N - 32.60  E - 33.34 ,Meter not working ,M - 6.7  N - 6.7  E - 6.7  
24/10/2024,11,220,326,546,522,442,M - 32.30  N - 33.34  E - 32.69  ,Meter not working ,M - 6.7  N - 6.7  E - 6.7  
25/10/2024,9,180,423,603,601,524,M - 33.21  N - 33.26  E - 31.65  ,Meter not working ,M - 6.7  N  - 6.7  E - 6.7  
26/10/2024,12,240,348,588,636,557,M - 33.34  N - 33.25  E - 33.65  ,Meter not working ,M - 6.7 N - 6.7  E - 6.7  
27/10/2024,6,120,403,523,594,487,M - 33.24  N - 33.25  E - 33.34  ,meter not working ,M - 6.7  N - 6.8  E - 6.8
28/10/2024,9,180,415,595,586,535,M - 33.34  N - 32.65  E - 33.20  , Do Meter not working ,M - 6.7  N - 6.7  E - 6.7  
29/10/2024,7,140,371,511,613,535,M - 33.20  N - 33.65  E - 33.26  ,Do meter not working ,M - 6.7  N - 6.7  E - 6.7  
30/10/2024,9,180,363,543,583,506,M - 33.34  N - 32.69  E - 32.50  ,Meter  not working ,M - 6.7  N - 6.7  E - 6.7  
31/10/2024,7,140,437,577,577,500,M - 33.20  N - 33.54  E - 33.35  ,Meter not working ,M - 6.7  N - 6.7  E - 6.7  
1/11/2024,5,100,376,476,553,476,M - 33.34  N - 32.65  E - 32.60  ,Meter not working ,M - 6.7  N - 6.8  E - 6.7  
2/11/2024,8,160,393,553,609,513,M - 33.10  N - 33.25  E - 33.34  ,DO meter not working ,M - 6.7  N -  6.8  E - 6.8  
3/11/2024,8,160,338,498,494,419,M - 33.52  N - 33.20  E - 33.28  ,Meter not working    ,M - 6.7  N - 6.7  E - 6.7  
4/11/2024,6,120,310,430,542,480,M - 33.65  N - 34.10  E - 33.25  ,DO meter not working ,M - 6.7  N - 6.7  E - 6.7  
5/11/2024,9,180,301,481,570,489,M - 33.52  N - 33.20  E - 34.10  ,Meter not working ,M - 6.7  N - 6.7  E - 6.7  
6/11/2024,7,140,231,371,423,351,M - 33.25  N - 33.40 E - 33.56  ,DO meter not working ,M - 6.8  N - 6.8  E - 6.7  
7/11/2024,12,240,369,609,516,449,M - 33.50  N - 33.34  E - 34.10 ,Meter not working ,M - 6.7  N - 6.6  E - 6.7  
8/11/2024,11,220,296,516,621,538,M - 33.34  N - 32.69  E - 33.60 ,do meter not  working ,M - 6.7  N - 6.7  E - 6.7 
9/11/2024,13,260,257,517,581,500,M - 33.20  N - 33.65  E - 34.60  ,DO meter not working ,M - 6.6  N - 6.7  E - 6.7  
10/11/2024,6,120,344,464,573,495,M - 33.50  N - 34.10  E - 33.25  ,DO meter not working ,M - 6.8  N - 6.8  E - 6.6  
11/11/2024,11,220,229,449,588,505,M=34.55 N=33.14 E=34.11k,do meter not working ,M=6.8 N=6.7 E=6.7
12/11/2024,8,160,306,466,567,494,M - 33.34  N - 32.69  E - 33.40  ,DO meter not working ,M - 6.7  N - 6.7  E - 6.8  
13/11/2024,8,160,386,546,578,495,M=34.12 N=33.45 E=34.12,,M=6.7 N=6.8 E=6.7
14/11/2024,9,180,324,504,567,484,M-33.14 N-34.44 E-33.88,  ,M-6.7 N-6.7 E-6.8
15/11/2024,6,120,369,489,572,488,M-34.75 N-34.90 E-33.29,,M-6.6 N-6.5 E-6.8
16/11/2024,9,180,340,520,559,474,M-34.47 N-37.30 E-34.50,,M-6.9 N-6.6 E-6.9
17/11/2024,5,100,361,461,448,363,M-33.14 N-35.44 E-35.14,,M-6.7 N-6.9 E-6.9
18/11/2024,10,200,275,475,534,466,M-33.14 N-34.44 E-34.14,,M-6.8 N-6.9 E-6.9
19/11/2024,8,160,319,479,567,484,M-34.14 N-36.44 E-35.14,,M-6.9 N-6.8 E-6.8
20/11/2024,6,120,345,465,579,494,M-34.71 N-34.23 E-33.56,,M-6.8 N-6.9 E-6.9
21/11/2024,6,120,358,478,551,461,M-33.47 N-34.88 E-35.55,,M-6.7 N-6.7 E-6.8
22/11/2024,7,140,354,494,574,488,M-34.44 N-34.11 E-35.40,,M-6.7 N-6.8 E-6.8
23/11/2024,7,140,277,417,518,427,M=33.14 N=34.33 E=34.44,,M=6.7 N=6.7 E=6.8
24/11/2024,4,80,307,387,507,434,M=34.22 N=34.11 E=33.18,,M=6.7 N=6.7 E=6.8
25/11/2024,8,160,400,560,569,474,M=34.21 N=33.45 E=34.18,,M=6.7 N=6.8 E=6.7
26/11/2024,10,200,301,501,561,471,M=33.41 N=34.25 E=34.15,,M=6.7 N=6.8 E=6.8
27/11/2024,9,180,344,524,539,447,M=33.88 N=34.84 E=34.52,,M=6.7 N=6.7 E=6.8
28/11/2024,7,140,347,487,548,456,M-34.98 N-34.05 E-33.56,,M-6.9 N-6.8 E-6.9
29/11/2024,6,120,283,403,560,464,M-35.91 N-34.68 E-34.27,,
30/11/2024,6,120,400,520,520,427,M-34.07 N-34.48 E-33.91,,M-6.8 N-7.0 E-7.0
1/12/2024,5,100,381,481,542,447,M-33.64 N-34.70 E-33.10,,M-6.9 N-7.0 E-7.0
2/12/2024,6,120,376,496,526,442,M-33.15 N-33.44 E-33.95,,M-6.9 N-6.9 E-6.9
3/12/2024,5,100,362,462,539,442,M-33.55 N-33.48 E-33.36,,M-6.8 N-6.8 E-6.7
4/12/2024,5,100,257,357,537,449,M-33.63 N-33.45 E-33.98,,M-6.9 N-6.9 E-6.8
5/12/2024,9,180,415,595,551,455,M=34.14 N=34.58 E=35.15,,M=6.8 N=6.7 E=6.8
6/12/2024,4,80,357,437,484,403,M=33.35 N=34.48 E=33.89,,M=6.8 N=6.8 E=6.9
7/12/2024,4,80,376,456,550,462,M=34.25 N=34.21 E=33.44,,M=6.7 N=6.8 E=6.7
8/12/2024,5,100,362,462,570,474,M=34.33 N=34.14 E=34.85,,M=6.7 N=6.8 E=6.8
9/12/2024,6,120,309,429,531,450,M=34.12 N=34.12 E=34.89,,M=6.7 N=6.7 E=6.8
10/12/2024,8,160,293,453,493,412,M=33.14 N=32.45 E=33.17,,M=6.7 N=6.8 E=6.8
11/12/2024,5,100,396,496,586,501,M=32.14 N=32.98 E=33.54,,M=6.7 N=6.7 E=6.8
12/12/2024,5,100,341,441,554,461,M-33.56 N-34.01 E-33.84,,M-6.8 N-6.8 E-6.7
13/12/2024,8,160,281,441,507,439,M-34.73 N-33.92 E-33.14,,M-6.6 N-6.8 E-6.9
14/12/2024,8,160,346,506,585,515,M-34.14 N-34.44 E-33.14,,M-6.8 N-6.8 E-6.8
15/12/2024,7,140,361,501,493,414,M-33.56 N-34.88 E-33.62,,M-6.9 N-6.9 E-6.9
16/12/2024,6,120,318,438,541,468,M-33.19 N-32.61 E-33.85,,M-6.8 N-6.8 E-6.8
17/12/2024,9,180,373,553,580,476,M-33.31 N-32.16 E-33.10,,M-6.8 N-6.9 E-6.9
18/12/2024,7,140,356,496,581,498,M-34.84 N-33.24 E-33.40,,M-6.8 N-6.9 E-6.9
19/12/2024,8,160,382,542,560,471,M-34.69 N-32.34 E-33.10,,M-6.7 N-6.8 E-6.8
20/12/2024,8,160,280,440,585,488,M=34.12 N=34.17 E=33.15,,M=6.7 N=6.8 E=6.8
21/12/2024,6,120,382,502,575,475,M=34.12 N=33.45 E=34.14,,M=6.7 N=6.8 E=6.8
22/12/2024,7,140,396,536,606,513,M=34.15 N=34.12 E=33.15,,M=6.7 N=6.7 E=6.8
23/12/2024,7,140,308,448,587,497,M=34.12 N=33.85 E=33.54,,M=6.8 N=6.7 E=6.8
24/12/2024,4,80,446,526,542,449,M=34.54 N=34.25 E=34.85,,M=6.8 N=6.8 E=6.8
25/12/2024,6,120,397,517,614,513,M=34.12 N=33.18 E=34.28,,M=6.7 N=6.8 E=6.8
26/12/2024,8,160,371,531,590,495,M-32.14 N-34.56 E-33.78,,M-6.8 N-6.8 E-6.9
27/12/2024,5,100,442,542,621,517,M-33.09 N-34.54 E-33.20,,M-6.8 N-6.9 E-6.9
28/12/2024,7,140,401,541,611,524,M-33.53 N-33.69 E-34.50,,M-6.9 N-7.0 E-6.9
29/12/2024,7,140,388,528,605,511,M-34.14 N-34.44 E-33.14,,M-6.8 N-6.9 E-6.9
30/12/2024,7,140,385,525,598,509,M-31.69 N-35.92 E-34.42,,M-7.0 N-6.9 E-6.9
31/12/2024,4,80,455,535,600,506,M-34.15 N-34.49 E-33.56,,M-6.9 N-6.9 E-6.9
1/1/2025,3,60,433,493,601,504,M-34.14 N-34.44 E-33.14,,M-6.9 N-6.9 E-6.9
2/1/2025,3,60,468,528,600,491,M=33.15 N=34.12 E=34.85,,M=6.7 N=6.8 E=6.8
3/1/2025,4,80,370,450,577,494,M-34.12 N-33.15 E-34.10 ,,M-6.7 N-6.8 E-6.8
4/1/2025,4,80,427,507,587,486,M=34.58 N=34.25 E=34.89,,M=6.7 N=6.8 E=6.8
5/1/2025,4,80,393,473,532,445,M=34.25 N=34.28 E=34.85,,M=6.7 N=6.8 E=6.8
6/1/2025,4,80,365,445,572,472,M=33.14 N=33.21 E=34.12,,M=6.7 N=6.7 E=6.8
7/1/2025,7,140,409,549,610,506,M=33.41 N=34.58 E=34.28,,M=6.7 N=6.8 E=6.8
8/1/2025,5,100,411,511,526,454,M=34.15 N=34.28 E=34.29,,M=6.7 N=6.7 E=6.8
9/1/2025,6,120,394,514,589,494,M-34.14 N-34.44 E-33.96,,M-6.9 N-6.9 E-6.8
10/1/2025,8,160,375,535,637,528,M-34.89 N-34.41 E-33.53,,M-6.8 N-6.8 E-6.8
11/1/2025,3,60,376,436,552,459,M-34.46 N-32.69 E-34.50,,M-6.9 N-6.9 E-6.9
12/1/2025,6,120,353,473,508,419,M-34.74 N-33.61 E-34.46,,M-6.8 N-6.8 E-6.9
13/1/2025,6,120,336,456,581,489,M-34.14 N-32.84 E-34.50,,M-6.8 N-6.9 E-6.9
14/1/2025,8,160,353,513,594,502,M-30.84 N-34.30 E-33.10,,M-6.8 N-6.8 E-6.8
15/1/2025,8,160,334,494,593,504,M-32.76 N-33.01 E-33.40,,M-6.8 N-6.8 E-6.8
16/1/2025,10,200,309,509,521,438,M-33.24 N-33.31 E-34.07,,M-6.8 N-6.9 E-6.8
17/1/2025,7,140,362,502,595,518,M=33.41 N=34.25 E=34.28,,M=6.7 N=6.8 E=6.8
18/1/2025,8,160,377,537,608,526,M - 31.65 N - 32.15  E -   32.00  ,Meter not working ,M - 6.8  N - 6.8  E - 6.9  
19/1/2025,8,160,400,560,605,523,M-33.20 N - 32.65    E - 32.55   ,DO METER NOT WORKING ,M - 6.8  N - 6.8  E - 6.7  
20/1/2025,8,160,357,517,595,503,M - 32.6 0 N - 33.12  E - 33.10  ,Do meter not working ,M - 6.9  N - 6.9  E -  6.9  
21/1/2025,8,160,392,552,602,517,M - 33.12  N - 32.65  E - 32.50  ,Do meter not working ,M - 6.9  N - 6.9  E - 6.9  
22/1/2025,6,120,362,482,576,498,M - 32.60  N - 33..15  E - 32.60  ,Do meter not working ,M - 6.8  N - 6.8  E - 6.8  
23/1/2025,6,120,357,477,599,526,M - 33.20  N  - 33.25  E - 32.60  ,do meter not working ,M - 6.8  N - 6.8  E - 6.7  
24/1/2025,7,140,364,504,606,499,M - 33.25    N -  33.34  E -  33.12    ,Do meter not working ,M - 6.9  N - 6.9  E - 6.9  
25/1/2025,8,160,383,543,601,523,M - 32.60  N - 33.35  E - 33.22  ,Meter not working ,M - 6.8  N - 6.9  E  - 6.8  
26/1/2025,8,160,349,509,605,516,M - 33.65  N - 33.20  E - 33.15  ,Do meter not working ,M - 6.9  N - 6.9  E -  6.9  
27/1/2025,8,160,359,519,601,515,M - 33.25  N - 33.60  E - 33.32  ,Do meter not working ,M - 7.0  N -  7.0  E - 6.8  
28/1/2025,11,220,362,582,607,519,M- 33.15  N - 32.65  E - 33.60  ,DO meter  not working ,M - 6.8  N - 6.8  E -  6.8 
29/1/2025,9,180,341,521,615,529,M - 33.25  N - 32.90  E -  33.65  ,Do meter not working ,M - 6.8  N - 6.8  E - 6.8  
30/1/2025,9,180,339,519,598,510,M - 33.15  N - 33.34  E - 33.65  ,Do meter not working ,M - 6.8  N - 6.8  E - 6.8  
31/1/2025,7,140,373,513,619,526,M - 32.60  N -  33.65  E -  32.25  ,Do meter not working ,M - 6.8  N - 6.9  E - 6.9  
1/2/2025,8,160,351,511,527,456,M - 33.65  N - 32.60  E - 33.22  ,do meter not working ,M - 6.8  M - 6.8  E -  6.8  
2/2/2025,9,180,331,511,505,423,M - 33.25  N - 32.65  E - 32.34  ,do meter not working ,M - 6.9  N - 6.9  E - 6.9  
3/2/2025,8,160,336,496,584,489,M - 33.20 N - 33.34  E -  32.65 ,DO  meter not working ,M - 6.9  N - 6.9   E - 6.9 
4/2/2025,9,180,365,545,578,484,M - 33.20  N - 32.65  E - 33.24  ,Do meter not working ,M - 6.9  N -  6.9 E -   6.9  
5/2/2025,6,120,407,527,582,482,M - 32.60  N - 32.64 E - 33.34  ,  Do Meter not working ,M - 6.8  N - 6.8  E - 6.8  
6/2/2025,8,160,322,482,588,493,M - 33.24    N - 3320   E - 33.40               ,Do meter not working ,M - 6.8  N - 6. 8 E - 6.8 
7/2/2025,6,120,365,485,576,482,M - 33.24  N - 33.54  E -  32.60  ,Do meter not working ,M - 6.8  N - 6.9 E - 6.9 
8/2/2025,4,80,451,531,582,478,M - 33.25  N - 32.90  E - 31.65  ,Do meter not working ,M - 6.8  N - 6.8  E -  6.8  
9/2/2025,9,180,341,521,586,489,M - 32.60  N - 33.34  E  - 33.25 ,Do meter not working ,M - 6.8  N -  6.7  E - 6.7  
10/2/2025,6,120,394,514,594,495,M - 33.20  N  -  32.5 E -   33.26 ,Do meter not working ,M - 6.8  N - 6.8  E -  6.8  
11/2/2025,7,140,406,546,589,501,M - 33.25  N - 32.60  E- 33.34 ,Do meter not working ,M -6.8  N - 6.8  E - 6.7 
12/2/2025,5,100,428,528,614,527,M - 33.25  N - 32.60 E -  32.56  ,Do meter not working ,M - 6.8  N - 6.8 E - 6.7    
13/2/2025,4,80,423,503,620,525,M - 32.60  N - 33.25  E - 33.34 ,do meter not working ,M - 6.8  N - 6.8  E -  6.8 
14/2/2025,4,80,474,554,614,527,M - 33.20  N - 33.34 E -  32.64 ,Do meter not working ,M - 6.7  N - 6.7  E -  6.8  
15/2/2025,4,80,458,538,627,533,M - 33.34  N - 32.65  E - 32.64  ,do meter not working  ,M - 6.8  N - 6.9  E -  6.9  
16/2/2025,5,100,461,561,630,539,M - 33.25  N - 32.60  E -  33.34  ,DO meter no working ,M - 6.8 N - 6.8  E - 6.8  
17/2/2025,5,100,444,544,628,539,M - 6.7  N - 6.7  E - 6.7  ,do meter not working ,M - 6.8  N - 6.8  E - 6.8  
18/2/2025,5,100,417,517,609,520,M - 33.65 N - 32 .60  E -  33.52  ,DO meter not working   ,M - 6.8  N - 6.8  E - 6.8  
19/2/2025,4,80,459,539,582,489,M - 33.20  N - 33.25  E - 33.65  ,DO meter  no working ,M - 6.8  N - 6.8  E - 6.8   
20/2/2025,2,40,442,482,553,459,M - 33.34 N - 32.69  E - 32.55  ,Do meter no working ,M - 6.7  N - 6.7  E - 6.7 
21/2/2025,1,20,458,478,518,419,M - 33.34  N - 32.60  e - 33.25  ,Do meter not working ,M - 6.8  N - 6.8  E - 6.8  
24/2/2025,0,0,491,491,437,361,M - 33.20  N - 32.65  E - 33.50  ,Do meter no work ,M - 6.7  N - 6.7  E - 6.7  
25/2/2025,0,0,334,334,247,159,M - 33.20  N - 33.34  E - 33.60  ,Do meter not work ,M - 6.7  N - 6.7  E - 6.7  
26/2/2025,0,0,342,342,272,226,M - 33.20  N - 32.69  E - 32.60  ,Do meter  no work ,M - 6.7  N - 6.7  E - 6.7  
27/2/2025,0,0,502,502,595,512,M - 33.25  N  - 33.34  E - 34.10  ,DO meter not working ,M - 6.7  N - 6.7  E - 6.7  
28/2/2025,2,40,458,498,571,468,M - 32.69  N - 32.50  E - 33.34  ,DO meter no work ,M - 6.7 N - 6.8  E - 6.8  
1/3/2025,0,0,487,487,583,476,,,
2/3/2025,1,20,473,493,592,514,,,
3/3/2025,1,20,477,497,598,517,,,
4/3/2025,5,100,461,561,600,516,,,
5/3/2025,3,60,443,503,608,521,,,
6/3/2025,6,120,424,544,607,530,,,
7/3/2025,5,100,452,552,621,532,,,
8/3/2025,6,120,450,570,617,531,,,
9/3/2025,4,80,388,468,607,521,,,
10/3/2025,6,120,480,600,610,524,,,
11/3/2025,3,60,476,536,607,511,,,
12/3/2025,6,120,391,511,601,509,,,
13/3/2025,3,60,472,532,606,508,,,
14/3/2025,6,120,399,519,609,507,,,
15/3/2025,2,40,494,534,602,504,,,
16/3/2025,4,80,434,514,591,494,,,
17/3/2025,4,80,442,522,591,500,,,
18/3/2025,5,100,369,469,578,480,,,
19/3/2025,3,60,466,526,565,467,,,
20/3/2025,4,80,424,504,610,511,,,
21/3/2025,4,80,425,505,619,519,,,
22/3/2025,5,100,435,535,616,523,,,
23/3/2025,6,120,466,586,627,541,,,
24/3/2025,6,120,422,542,630,540,,,
25/3/2025,5,100,488,588,613,522,,,
26/3/2025,8,160,353,513,631,541,,,
27/3/2025,7,140,513,653,627,538,,,
28/3/2025,3,60,478,538,631,546,,,
29/3/2025,4,80,559,639,623,534,,,
30/3/2025,3,60,471,531,640,558,,,
31/3/2025,3,60,471,531,640,558,,,